#TYPE System.Management.Automation.PSCustomObject
"User Status","Asset ID","WF Id","Modified"
"Registering Reuses","AS604","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:55:28 PM"
"Registering Reuses","AS605","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:55:47 PM"
,"AS605","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:55:47 PM"
"Registering Reuses","AS606","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:55:56 PM"
,"AS606","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:55:56 PM"
,"AS607","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:56:05 PM"
"Registering Reuses","AS607","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:56:05 PM"
,"AS608","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:56:14 PM"
"Registering Reuses","AS608","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:56:14 PM"
,"AS609","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:56:23 PM"
"Registering Reuses","AS609","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:56:23 PM"
"Registering Reuses","AS610","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:56:34 PM"
,"AS610","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:56:34 PM"
,"AS611","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:56:46 PM"
"Registering Reuses","AS611","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:56:46 PM"
"Registering Reuses","AS612","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:57:00 PM"
,"AS612","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:57:00 PM"
"Registering Reuses","AS613","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:57:25 PM"
,"AS613","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:57:25 PM"
"Generating Asset and Bundle IDs","AS614","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:57:40 PM"
,"AS614","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:57:40 PM"
"Registering Reuses","AS615","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:57:47 PM"
,"AS615","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:57:47 PM"
,"AS616","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:58:01 PM"
"Registering Reuses","AS616","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:58:01 PM"
"Registering Reuses","AS617","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:58:08 PM"
,"AS617","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:58:08 PM"
"Registering Reuses","AS618","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:58:18 PM"
,"AS618","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:58:18 PM"
"Registering Reuses","AS620","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:58:41 PM"
,"AS626","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 6:59:55 PM"
"Registering Reuses","AS626","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 6:59:55 PM"
"Registering Reuses","AS627","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:00:04 PM"
"Registering Reuses","AS628","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:00:11 PM"
,"AS628","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:00:11 PM"
,"AS629","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:00:18 PM"
"Generating Asset and Bundle IDs","AS629","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:00:18 PM"
"Registering Reuses","AS630","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:00:28 PM"
,"AS631","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:00:56 PM"
"Registering Reuses","AS631","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:00:56 PM"
"Registering Reuses","AS632","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:01:09 PM"
,"AS633","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:01:22 PM"
"Registering Reuses","AS633","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:01:22 PM"
"Registering Reuses","AS634","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:01:37 PM"
,"AS634","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:01:37 PM"
,"AS635","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:01:48 PM"
"Registering Reuses","AS635","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:01:48 PM"
"Librarian Assigned to Form","AS636","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:02:34 PM"
"Uploading Assets","AS636","11108446-d32c-433c-9862-06fc8c3290d7","5/11/2017 7:02:34 PM"
"Librarian Assigned to Form","AS636","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:02:34 PM"
,"AS637","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:02:40 PM"
"Registering Reuses","AS637","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:02:40 PM"
"Registering Reuses","AS638","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:02:47 PM"
"Registering Reuses","AS640","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:03:11 PM"
"Registering Reuses","AS643","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:03:58 PM"
"Registering Reuses","AS644","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:04:08 PM"
"Registering Reuses","AS645","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:04:16 PM"
"Registering Reuses","AS647","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:04:41 PM"
"Registering Reuses","AS648","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:04:46 PM"
"Registering Reuses","AS649","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:04:55 PM"
"Registering Reuses","AS650","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:05:04 PM"
"Registering Reuses","AS651","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:05:14 PM"
"Registering Reuses","AS653","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:05:42 PM"
"Registering Reuses","AS654","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:05:52 PM"
"Registering Reuses","AS655","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:05:56 PM"
,"AS655","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:05:56 PM"
,"AS656","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:01 PM"
"Registering Reuses","AS656","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:01 PM"
,"AS657","2207abe7-5b90-4a24-9535-e28618307059","5/11/2017 7:06:10 PM"
"Registering Reuses","AS657","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:10 PM"
"Registering Reuses","AS658","8d6ce29e-0014-4a6e-8cf5-3b904596a442","5/11/2017 7:06:13 PM"
